CITY_CODE,CITY_NAME,CITY_COMMON_NAME,COUNTRY_CODE,COUNTRY_NAME,REGION,SUBREGION,LATITUDE,LONGITUDE,EFFECTIVE,OBSOLETE
AM010,Ambon,Ambon,2070,Indonesia,Asia,South-eastern Asia,-3.6959,128.17878,,0
AM015,Ambositra,Ambositra,2670,Madagascar,Africa,Sub-Saharan Africa,-21.9167,43.96667,,0
AM020,Ambovombe,Ambovombe,2670,Madagascar,Africa,Sub-Saharan Africa,-25.1784,46.087463,2021,0
AM010,Ambunti,Ambunti,6490,Papua New Guinea,Oceania,Melanesia,-4.2172,142.81832,,0
AM030,Amdjarass,Amdjarass,810,Chad,Africa,Sub-Saharan Africa,16.0658,22.843056,,0
AM002,Amersfoort,Amersfoort,3000,Netherlands,Europe,Western Europe,52.155,5.3875,,0
AM050,Amersham,Amersham,4530,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,51.6667,-0.633333,,0
AM387,Amherst,Amherst,4560,United States of America,Americas,Northern America,42.3745,-72.5186,,0
AM010,Amleyouna,Abeche,810,Chad,Africa,Sub-Saharan Africa,13.828,20.828365,,0
AM010,Amman,Amman,2340,Jordan,Asia,Western Asia,31.9479,35.926127,2019,0
AM040,Ampanihy,Ampanihy,2670,Madagascar,Africa,Sub-Saharan Africa,-19.4884,45.3864,,0
AM030,Ampara,Ampara,780,Sri Lanka,Asia,Southern Asia,7.2975,81.68202,,0
AM064,Ampefy,Ampefy,2670,Madagascar,Africa,Sub-Saharan Africa,-19.05,46.73333,,0
AM010,Amran,Amran,9400,Yemen,Asia,Western Asia,16.2302,43.90983,,0
AM100,Amret Al Faouar,Faouar,4140,Syrian Arab Republic,Asia,Western Asia,33.237,35.921621,,0
AM005,Amsterdam,Amsterdam,3000,Netherlands,Europe,Western Europe,52.374,4.889683,,0
AN010,An Nabk,An-Nabk,4140,Syrian Arab Republic,Asia,Western Asia,34.025,36.734444,,0
AN051,An Najaf,An Najaf,2130,Iraq,Asia,Western Asia,31.9987,44.331578,,0
AN010,Ananalava,Ananalava,2670,Madagascar,Africa,Sub-Saharan Africa,-14.6413,47.757605,,0
AN030,Anand,Anand,2040,India,Asia,Southern Asia,22.5525,72.9552,,0
AN020,Ancash,Ancash,3390,Peru,Americas,Latin America and the Caribbean,-9.5,-77.75,,0
AN017,Ancona,Ancona,2220,Italy,Europe,Southern Europe,43.616,13.518582,,0
AN010,Andahuaylas,Andahuaylas,3390,Peru,Americas,Latin America and the Caribbean,-13.6556,-73.38722,,0
AN000,Andorra,Andorra,5050,Andorra,Europe,Southern Europe,42.5045,1.49414,,0
AN834,Andravida,Andravida,1650,Greece,Europe,Southern Europe,37.9059,21.271134,,0
AN456,Angers,Angers,1470,France,Europe,Western Europe,47.4736,-0.55416,,0
AN010,Ango Ango,Ango Ango,990,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,4.0387,25.85156,,0
AN005,Angoram,Angoram,6490,Papua New Guinea,Oceania,Melanesia,-4.0625,144.06609,,0
AN050,Angouleme,Angouleme,1470,France,Europe,Western Europe,45.65,0.15,,0
AN030,Anguilla,Anguilla,210,Anguilla,Americas,Latin America and the Caribbean,18.217,-63.057828,,0
AN010,Anjouan,Anjouan,6620,Comoros,Africa,Sub-Saharan Africa,-12.25,44.41667,,0
AN040,Anjozorobe,Anjozorobe,2670,Madagascar,Africa,Sub-Saharan Africa,-18.4,47.86667,,0
AN010,Ankara,Ankara,4350,Türkiye,Asia,Western Asia,39.9199,32.854265,2020,0
AN080,Ann Arbor,Ann Arbor,4560,United States of America,Americas,Northern America,42.2754,-83.730839,,0
AN020,Annaba,Annaba,120,Algeria,Africa,Northern Africa,36.8333,7.58333,,0
AN055,Annandale,Annandale,4560,United States of America,Americas,Northern America,38.8304,-77.19637,,0
AN455,Annecy -Le - Vieux,Annecy -Le - Vieux,1470,France,Europe,Western Europe,45.92,6.142777778,,0
AN020,Anori,Anori,930,Colombia,Americas,Latin America and the Caribbean,7.0735,-75.146832,2019,0
AN050,Ansan,Ansan,5670,Republic of Korea,Asia,Eastern Asia,37.3236,126.82194,2020,0
AN060,Anseapitre,Anse-a-Pitre,1830,Haiti,Americas,Latin America and the Caribbean,18.05,-71.75,,0
AN068,Antakya,Antakya,4350,Türkiye,Asia,Western Asia,36.2066,36.15722,2023,0
AN013,Antalya,Antalya,4350,Türkiye,Asia,Western Asia,36.7698,31.90215,,0
AN030,Antananarivo,Antananarivo,2670,Madagascar,Africa,Sub-Saharan Africa,-18.9167,47.51666,2021,0
AN000,Antigua,Antigua,6010,Antigua and Barbuda,Americas,Latin America and the Caribbean,17.05,-61.8,,0
AN003,Antofagasta,Antofagasta,840,Chile,Americas,Latin America and the Caribbean,-23.5,-69,,0
AN055,Antsalova,Antsalova,2670,Madagascar,Africa,Sub-Saharan Africa,-18.6667,44.61667,,0
AN060,Antsirabe,Antsirabe,2670,Madagascar,Africa,Sub-Saharan Africa,-19.8714,47.034663,,0
AN070,Antsiranane,Antsiranana,2670,Madagascar,Africa,Sub-Saharan Africa,-12.2805,49.292017,,0
AN075,Antsirinala,Antsiranana,2670,Madagascar,Africa,Sub-Saharan Africa,-12.2805,49.292017,,0
AN103,Antwerpen,Antwerpen,480,Belgium,Europe,Western Europe,51.2213,4.4051,,0
AN020,Anuradhapura,Anuradhapura,780,Sri Lanka,Asia,Southern Asia,8.3333,80.5,,0
AP010,Aparri,Aparri,3420,Philippines,Asia,South-eastern Asia,16.9262,121.56584,,0
AP050,Apartado,Apartado,930,Colombia,Americas,Latin America and the Caribbean,7.8849,-76.622727,2019,0
AP020,Apia,Apia,5900,Samoa,Oceania,Polynesia,-13.8333,-171.766657,2021,0
AQ015,Aqaba,Aqaba,2340,Jordan,Asia,Western Asia,29.75,35.33333,,0
AR011,Aracaju,Aracaju,540,Brazil,Americas,Latin America and the Caribbean,-10.9111,-37.07167,,0
AR060,Arak,Arak,2100,Iran,Asia,Southern Asia,36.7064,49.94971,,0
AR010,Aralaganwila,Aralaganwila,780,Sri Lanka,Asia,Southern Asia,7.7825,81.18279,,0
AR010,Aranya Prathet,Aranyaprathet,4200,Thailand,Asia,South-eastern Asia,13.6928,102.501667,,0
AR010,Arauca,Arauca,930,Colombia,Americas,Latin America and the Caribbean,7.0825,-70.75702,2019,0
AR010,Arawa,Arawa,6490,Papua New Guinea,Oceania,Melanesia,-6.2132,155.53674,,0
AR020,Arba Minch,Arba Minch,1410,Ethiopia,Africa,Sub-Saharan Africa,6.0333,37.55,,0
